selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,animal,trial_images_animals\r_pony.png,n,n,,81,,,pony,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,9,,,,,,,284.314802182,1406741404,1406741405,284.810110661,,,None,,1.5,287.295704978,1406741401,281.295148986,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,object,trial_images_objects\r_hammer.png,n,v,,107,,,hammer,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,288.795154117,1406741409,1406741409,289.306450532,1406741411,291.094179049,3,1.78741460152,0.5,291.793980558,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,object,trial_images_objects\r_nailclipper.png,n,n,,113,,,nailclipper,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,292.293832655,1406741412,1406741413,292.804794932,1406741414,294.442886775,3,1.63781958214,1.5,295.292686865,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,animal,trial_images_animals\r_badger2.png,n,n,,61,,,badger2,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,296.792183998,1406741417,1406741417,297.307698948,,,None,,1.5,299.790891815,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,,,bottle_cleaner,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,301.290522663,1406741421,1406741422,301.798691095,,,None,,2.5,304.289203616,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,object,trial_images_objects\r_mop.png,n,n,,93,,,mop,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,306.788481007,1406741427,1406741427,307.299474675,,,None,,3.5,309.787177656,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,object,trial_images_objects\r_scissors.png,n,n,,114,,,scissors,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,313.302731242,1406741433,1406741434,313.810442687,1406741435,315.351766889,3,1.54104801754,3.5,316.301503351,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
2,object,trial_images_objects\r_crosscut_saw.png,n,n,,100,,,crosscut_saw,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,319.800293873,1406741440,1406741440,320.309886695,,,None,,2.5,322.79899686,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
