selectBlock,category,paths,semantic,action,image2,number,image1,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
4,object,trial_images_objects\r_hammer.png,n,v,,107,,hammer,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,6,,,,,,,,,,,267.176283124,1396456449,1396456449,267.686126167,1396456450,268.525535407,3,0.839133050343,3.5,270.175131884,,,1396456452,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_key.png,n,n,,108,,key,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,8,,,,,,,,,,,273.673948497,1396456455,1396456456,274.18394186,,,None,,2.5,276.672709722,,,1396456458,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_scoop.png,n,n,,110,,scoop,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,5,,,,,,,,,,,279.171989668,1396456461,1396456461,279.682426442,,,None,,1.5,282.170724632,,,1396456464,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_nailclipper.png,n,n,,113,,,nailclipper,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,8,,,,,,,289.70129845,1396456471,1396456472,290.193762113,,,None,,0.5,292.683787164,1396456468,286.681981823,1396456474,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_pincer.png,n,n,,119,,,pincer,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,5,,,,,,,293.18361647,1396456475,1396456475,293.694088862,,,None,,0.5,296.182397616,,,1396456478,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,,,deer_fallow,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,9,,,,,,,296.682368186,1396456478,1396456479,297.192083247,,,None,,3.5,299.681138466,,,1396456481,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_cakeslicer.png,n,n,,92,,,cakeslicer,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,1,,,,,,,303.180105399,1396456485,1396456485,303.688565988,,,None,,1.5,306.17881863,,,1396456488,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,animal,trial_images_animals\r_hare.png,n,v,,78,,,hare,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,2,,,,,,,307.678461093,1396456489,1396456490,308.188681444,,,None,,2.5,310.67721296,,,1396456492,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,animal,trial_images_animals\r_jerboas.png,f,v,,82,,,jerboas,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,12,,,,,,,313.176495926,1396456495,1396456495,313.689428059,1396456497,315.292187716,3,1.60244120872,1.5,316.175369135,,,1396456498,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_paint_roller.png,n,v,,117,,,paint_roller,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,13,,,,,,,317.674890558,1396456499,1396456500,318.184543137,,,None,,2.5,320.673624315,,,1396456502,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,,,bottle_cleaner,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,10,,,,,,,323.173021076,1396456505,1396456505,323.681632286,,,None,,3.5,326.171695972,,,1396456508,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_teapot.png,n,n,,109,,,teapot,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,3,,,,,,,329.670609176,1396456511,1396456512,330.182447421,,,None,,0.5,332.686008146,,,1396456514,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,animal,trial_images_animals\r_swan2.png,n,n,,90,,,swan2,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,0,,,,,,,333.186009504,1396456515,1396456515,333.701423113,,,None,,1.5,336.184769521,,,1396456518,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,object,trial_images_objects\r_frypan.png,n,n,,104,,,frypan,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,7,,,,,,,337.684418625,1396456519,1396456520,338.194702062,,,None,,0.5,340.68316355,,,1396456522,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
3,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,,87,,,sheep_blackfaced,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,11,,,,,,,341.18313412,1396456523,1396456523,341.700596961,,,None,,1.5,344.181941225,,,1396456526,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
