selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,Respgettime,date,frameRate,expName,session,participant
4,animal,trial_images_animals\r_dragonfly.png,n,n,,12,,dragonfly,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,11,,,,,,,,,,,,2,,1394740710,357.8185261,None,,,,355.8067578,,,1394740708,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,object,trial_images_objects\r_coping_saw.png,n,n,,40,,coping_saw,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,7,,,,,,,,,,,,4,,1394740717,364.811031,None,,,,360.8049181,,,1394740713,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_cat_wild.png,n,n,,8,,cat_wild,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,8,,,,,,,,,,,,3,,1394740723,370.82792,None,,,,367.8023793,,,1394740720,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,animal,trial_images_animals\r_springbok.png,f,n,,28,,springbok,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,5,,,,,,,,,,,,2,,1394740728,375.827668,None,,,,373.816789,,,1394740726,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,object,trial_images_objects\r_rasp.png,n,n,,47,,rasp,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,14,14,4,,,,,,,,,,,,4,,1394740735,382.8204563,None,,,,378.8149731,,,1394740731,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,,,swan_bewick,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,0,0,7,,,,,,,3,394.8423441,1394740750,397.8363592,None,,,,,1394740742,389.8192846,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,,,kangaroo_red,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,1,1,5,,,,,,,1,400.823485,1394740754,401.8355814,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,object,trial_images_objects\r_pitchfork.png,n,n,,52,,,pitchfork,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,2,2,10,,,,,,,1,404.8219055,1394740758,405.8304328,3,1394740760,,2.156315085,,,,,407.9870748,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,,,pizza_slicer,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,3,3,2,,,,,,,1,408.8205345,1394740762,409.8268536,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_fox_red.png,n,n,,14,,,fox_red,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,4,4,13,,,,,,,2,412.8189948,1394740767,414.8291648,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,object,trial_images_objects\r_colander.png,n,n,,36,,,colander,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,5,5,6,,,,,,,1,417.8171569,1394740771,418.8266308,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_bug_common.png,n,n,,3,,,bug_common,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,6,6,0,,,,,,,2,421.8156767,1394740776,423.8270981,3,1394740777,,0.970034905,,,,,424.7974058,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,,deer_roe,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,7,7,9,,,,,,,1,426.8138982,1394740780,427.8229308,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,object,trial_images_objects\r_maracas.png,f,v,,60,,,maracas,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,8,8,14,,,,,,,3,430.8123576,1394740786,433.82122,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,object,trial_images_objects\r_pliers.png,n,n,,59,,,pliers,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,9,9,4,,,,,,,2,436.8268113,1394740791,438.8380045,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_ostrich.png,f,n,,24,,,ostrich,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,10,10,3,,,,,,,4,441.8249378,1394740798,445.8339967,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
2,animal,trial_images_animals\r_rabbit.png,n,v,,18,,,rabbit,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,11,11,11,,,,,,,1,448.8223715,1394740802,449.8312173,escape,1394740805,,2.705823867,,,,,452.5373334,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
