selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
1,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,,,pizza_slicer,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,13,,,,,1397060810,629.7948154,632.7994085,1397060813,1397060813,633.2890365,,,None,,1.5,635.7798372,,,1397060816,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_cat_wild.png,n,n,,8,,,cat_wild,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,10,,,,,,,637.2792814,1397060817,1397060818,637.7891559,,,None,,1.5,640.2946514,,,1397060820,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_dragonfly.png,n,n,,12,,,dragonfly,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,6,,,,,,,641.7942416,1397060822,1397060822,642.3060042,1397060823,643.0435105,4,0.737198451,2.5,644.7930418,,,1397060825,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,,,bulldog_english,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,12,,,,,,,647.2921748,1397060827,1397060828,647.8061423,,,None,,1.5,650.2908563,,,1397060830,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_seal_grey.png,n,n,,26,,,seal_grey,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,8,,,,,,,651.790456,1397060832,1397060832,652.301195,,,None,,1.5,654.7891405,,,1397060835,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_owl.png,n,n,,25,,,owl2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,3,,,,,,,656.2887583,1397060836,1397060837,656.7999666,1397060838,657.6213002,4,0.821046798,0.5,659.2875385,,,1397060839,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,,harvest_mouse,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,11,,,,,,,659.7874249,1397060840,1397060840,660.2985831,,,None,,2.5,662.7861239,,,1397060843,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,,seagull_herring,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,665.2853755,1397060845,1397060846,665.7974275,1397060847,667.0510408,4,1.25332982,0.5,668.2841286,,,1397060848,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
4,animal,trial_images_animals\r_camel.png,f,n,,7,,,camel,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,9,,,,,,,668.784034,1397060849,1397060849,669.2956619,,,None,,3.5,671.7827213,,,1397060852,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
