selectBlock,category,paths,semantic,action,image3,number,image4,image2,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant,
1,animal,trial_images_animals\r_wallaby.png,f,v,,83,,,wallaby,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,,,,,1397061196,278.870950255,1397061199,281.891208225,1397061199,282.38473814,4,0.5,,284.873136178,,,1397061200,283.306860182,0.921797865812,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,object,trial_images_objects\r_chopsticks.png,f,n,,96,,,chopsticks,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,1397061202,285.372899686,1397061203,285.880347731,4,1.5,,288.371727945,,,1397061203,286.588950193,0.708338955098,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,object,trial_images_objects\r_mop.png,n,n,,93,,,mop,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,1397061207,289.871233682,1397061207,290.379423347,None,0.5,,292.869896834,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,object,trial_images_objects\r_garden clippers.png,n,n,,105,,,garden_clippers,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,1397061210,293.369865896,1397061211,293.87719894,None,2.5,,296.368585794,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,object,trial_images_objects\r_cutteknife.png,n,n,,102,,,cutterknife,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,1397061216,298.867793917,1397061216,299.376503954,None,0.5,,301.883194381,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,animal,trial_images_animals\r_penguin.png,f,n,,84,,,penguin,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,1397061219,302.383158312,1397061220,302.891917246,4,1.5,,305.381922278,,,1397061221,303.632456459,0.740277819281,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,object,trial_images_objects\r_african_sickle.png,f,n,,94,,,african_sickle,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,1397061224,306.881416848,1397061224,307.388833501,4,0.5,,309.880200132,,,1397061226,308.68055431,1.29145156816,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,,highland_cow,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,1397061227,310.380106411,1397061228,310.892843592,None,1.5,,313.37877892,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,animal,trial_images_animals\r_robin.png,n,n,,62,,,robin,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,13,,,,,,,1397061232,314.878393018,1397061232,315.390055952,None,0.5,,317.877092089,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
1,animal,trial_images_animals\r_ladybird.png,n,n,,72,,,ladybird,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,12,,,,,,,1397061235,318.377054811,1397061236,318.887227261,None,2.5,,321.375785576,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
