selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,startJitAbstime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,object,trial_images_objects\r_iron.png,n,n,,39,,,iron,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,11,,,,,,,360.1506389,1411119154,1411119154,360.6430433,1411119155,361.9659487,3,1.322569672,1.5,363.1323734,,1411119151,357.1277269,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,object,trial_images_objects\r_axe.png,n,v,,34,,,axe,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,13,,,,,,,364.6317776,1411119158,1411119159,365.1393032,1411119159,365.9478401,3,0.808281275,1.5,367.6306107,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_bat.png,n,n,,2,,,bat,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,369.1301537,1411119163,1411119163,369.6398115,,,None,,1.5,372.128869,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_badger.png,n,n,,1,,,badger1,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,9,,,,,,,373.6284941,1411119167,1411119168,374.1406497,,,None,,3.5,376.627272,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_mole.png,n,n,,20,,,mole,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,380.1261733,1411119174,1411119174,380.635963,,,None,,0.5,383.1248907,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_fox_red.png,n,n,,14,,,fox_red,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,383.6248596,1411119177,1411119178,384.1354559,,,None,,2.5,386.6236076,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_butterfly.png,n,n,,6,,,butterfly,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,10,,,,,,,389.1228919,1411119183,1411119183,389.6358214,1411119184,390.538851,3,0.90276785,1.5,392.121706,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,object,trial_images_objects\r_rasp.png,n,n,,47,,,rasp,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,12,,,,,,,393.6212399,1411119187,1411119188,394.1292838,,,None,,3.5,396.6199812,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,,,kangaroo_red,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,400.1188946,1411119194,1411119194,400.6309011,1411119195,401.5348561,3,0.903683042,1.5,403.134362,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_springbok.png,f,n,,28,,,springbok,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,3,,,,,,,404.6338926,1411119198,1411119199,405.1446953,1411119201,407.0162081,3,1.871236003,1.5,407.632732,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,,,swan_bewick,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,6,,,,,,,409.13226,1411119203,1411119203,409.6438641,,,None,,0.5,412.1310031,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
2,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,,deer_roe,,,,,0,3,3,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,7,,,,,,,412.6309904,1411119206,1411119207,413.1399241,1411119208,414.3801784,3,1.239992961,1.5,415.6298144,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
