selectBlock,category,paths,semantic,action,image2,number,image4,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1loop.thisTrial,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,Respgettime,key_resp_2.rt,startfixAbstime,startfixtime,RespgetTime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,,65,,bulldog_whiteenglish,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,3,,,,,,,,,,,,2,,1393508529,308.039424,None,,,,,306.0289735,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_whisk.png,n,n,,116,,whisk,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,1,,,,,,,,,,,,1,,1393508533,312.0376135,None,,,,,311.0271697,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,animal,trial_images_animals\r_badger2.png,n,n,,61,,badger2,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,9,,,,,,,,,,,,3,,1393508539,318.0378381,None,,,,,315.0257549,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_potatomasher.png,n,v,,118,,potatomasher,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,0,,,,,,,,,,,,1,,1393508543,322.0315603,None,,,,,321.0235904,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,object,trial_images_objects\r_handbell.png,n,v,,91,,handbell,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,14,14,5,,,,,,,,,,,,4,,1393508550,329.034995,3,1393508551,,1.184517582,,325.0221609,330.2197912,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_cutteknife.png,n,n,,102,,,cutterknife,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,8,,,,,,,3,340.0513523,1393508564,343.0633461,None,,,,,,,1393508557,336.0282868,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_teapot.png,n,n,,109,,,teapot,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,1,1,12,,,,,,,3,346.0312567,1393508570,349.0415496,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,animal,trial_images_animals\r_koala.png,f,n,,88,,,koala,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,2,2,1,,,,,,,2,352.028994,1393508575,354.0395909,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_tin_opener.png,n,n,,95,,,tin_opener,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,3,3,4,,,,,,,4,357.0272252,1393508582,361.0366256,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_computer_mouse.png,n,n,,99,,,computer_mouse,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,4,4,6,,,,,,,3,364.0246701,1393508588,367.0526122,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,,highland_cow,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,5,5,5,,,,,,,3,370.0391445,1393508594,373.0505681,3,1393508597,,2.735868369,,,375.7867631,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_tweezers.png,n,n,,103,,,tweezers,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,6,6,13,,,,,,,2,376.0371242,1393508599,378.0461527,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
