selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_blackbird.png,n,n,,4,,blackbird,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,2,,,,,,,,,,,286.5462936,1407437038,1407437038,287.0592197,None,2.5,289.5616273,,,,,,1407437041,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_duck_white.png,n,n,,13,,duck_white,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,10,,,,,,,,,,,292.0608572,1407437043,1407437044,292.5721648,None,1.5,295.0594995,,,,,,1407437046,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_cricket_green.png,n,v,,10,,cricket_green,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,12,,,,,,,,,,,296.5591785,1407437048,1407437048,297.0714,None,2.5,299.5577755,,,,,,1407437051,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
4,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,,,eyelash_curlers,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,4,,,,,,,308.0880944,1407437059,1407437060,308.5777663,None,3.5,311.0701815,,,,1407437056,305.0755213,1407437062,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
4,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,,deer_roe,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,12,,,,,,,314.5688886,1407437066,1407437066,315.078218,None,1.5,317.5675711,,,,,,1407437069,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
4,animal,trial_images_animals\r_goat.png,n,n,,16,,,goat1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,8,,,,,,,319.0671251,1407437070,1407437071,319.580085,None,3.5,322.0657865,,,,,,1407437073,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
4,animal,trial_images_animals\r_frog.png,n,v,,15,,,frog,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,7,,,,,,,325.5646457,1407437077,1407437077,326.0736173,3,1.5,328.5634441,1407437078,326.9971639,0.92323901,,,1407437080,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
4,animal,trial_images_animals\r_bug_common.png,n,n,,3,,,bug_common,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,330.0629036,1407437081,1407437082,330.5745109,None,2.5,333.0615855,,,,,,1407437084,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
